"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"3106934","06704",21,0,2,"02",61900
"3107304","06703",24,0,1,"02",102000
"3107372","06705",0,2,1,"  ",0
"3107383","06705",21,0,1,"07",19390
"3107535","06701",24,0,4,"02",42200
"3107778","06705",27,0,1,"02",21900
"3107781","06704",21,0,1,"08",8400
"3107945","06701",21,0,4,"02",44000
"3108300","06704",0,2,1,"  ",0
"3108703","06701",24,0,1,"04",16000
"3108936","06704",21,0,2,"02",87700
"3109181","06704",16,0,2,"02",79920
"3109217","06705",22,0,2,"03",48000
"3109254","06705",22,0,0,"06",0
"3109334","06702",15,0,2,"03",24400
"3109692","06703",26,0,2,"01",52520
"3109950","06702",10,0,1,"03",300
"3110387","06705",32,0,7,"07",40900
"3110801","06704",29,0,3,"02",2e+05
"3111028","06705",0,2,1,"  ",0
"3111055","06701",24,0,2,"05",15900
"3111232","06703",21,0,2,"02",54104
"3111332","06703",27,0,4,"02",65750
"3111395","06701",24,0,1,"02",31000
"3112113","06705",21,0,2,"02",119200
"3112124","06703",16,0,1,"07",36000
"3112132","06703",19,0,3,"02",53400
"3112210","06705",18,0,2,"02",65200
"3112355","06703",18,0,2,"02",56800
"3112444","06705",13,0,1,"02",36400
"3112828","06702",15,0,3,"06",13000
"3112886","06705",23,0,1,"01",35000
"3112895","06701",21,0,1,"09",11550
"3112991","06705",21,0,1,"06",36000
"3113300","06704",24,0,2,"02",75000
"3113308","06704",19,0,2,"06",36600
"3113374","06702",10,0,5,"01",75320
"3113862","06704",19,0,5,"02",103500
"3113965","06702",27,0,1,"01",7000
"3114466","06702",18,0,7,"02",45500
"3114533","06704",0,2,1,"  ",0
"3114543","06704",23,0,0,"02",0
"3114572","06705",16,0,2,"02",70370
"3114688","06703",24,0,2,"02",60000
"3115474","06704",22,0,1,"02",85100
"3115581","06705",13,0,2,"05",20500
"3115611","06701",16,0,4,"08",37000
"3115849","06705",0,2,1,"  ",0
"3116094","06703",16,0,2,"05",22000
"3116255","06704",13,0,2,"02",715500
"3116543","06705",24,0,1,"01",43030
"3116563","06703",28,0,0,"02",0
"3116867","06703",21,0,1,"01",12800
"3117135","06705",16,0,2,"02",103000
"3117281","06704",16,0,2,"08",86600
"3117303","06704",0,2,1,"  ",0
"3117420","06704",13,0,2,"02",106400
"3117440","06703",29,0,2,"02",130150
"3117536","06705",23,0,2,"06",44000
"3117766","06705",0,1,1,"  ",0
"3117877","06705",19,0,2,"01",19300
"3118122","06702",13,0,2,"06",16300
"3118282","06701",27,0,1,"03",8000
"3118324","06705",21,0,4,"03",60000
"3118766","06701",19,0,1,"02",12000
"3118997","06704",29,0,0,"05",0
"3119089","06701",24,0,2,"02",86000
"3119456","06704",13,0,1,"03",30600
"3119822","06702",29,0,5,"09",50500
"3119891","06705",11,0,4,"02",121400
"3120015","06704",25,0,0,"09",0
"3120458","06701",24,0,3,"02",425000
"3120485","06705",32,0,3,"07",36900
"3120666","06704",16,0,2,"07",49000
"3120695","06701",18,0,2,"08",75000
"3120813","06705",37,0,6,"02",49870
"3120959","06701",0,2,1,"  ",0
"3121010","06705",16,0,1,"07",12000
"3121011","06702",21,0,5,"02",38500
"3121373","06705",16,0,1,"04",20000
"3121456","06705",24,0,4,"02",182000
"3121537","06704",13,0,3,"09",56200
"3122490","06705",45,0,4,"06",46450
"3122827","06701",18,0,4,"02",89000
"3122985","06703",16,0,3,"04",25000
"3123717","06701",22,0,2,"09",2780
"3123938","06703",16,0,6,"04",30000
"3123946","06704",16,0,3,"09",68300
"3124265","06703",5,0,5,"02",88200
"3124424","06705",27,0,5,"08",27400
"3124639","06701",0,2,1,"  ",0
"3124655","06705",21,0,4,"02",125000
"3125181","06703",26,0,5,"08",23000
"3125183","06704",23,0,2,"06",43000
"3125204","06704",16,0,6,"02",70000
"3125212","06705",16,0,2,"03",25000
"3125237","06702",21,0,2,"05",51000
"3125878","06704",21,0,4,"02",60850
"3125940","06705",26,0,2,"09",31900
"3126125","06701",24,0,1,"03",48100
"3126357","06702",13,0,8,"05",55210
"3126398","06705",16,0,3,"02",72000
"3126538","06705",23,0,2,"02",16300
"3126734","06701",24,0,1,"02",4700
"3126753","06705",24,0,2,"03",27400
"3126811","06702",13,0,2,"02",184700
"3126966","06701",27,0,1,"02",24000
"3127281","06705",14,0,0,"08",0
"3127362","06702",19,0,6,"02",31900
"3127407","06704",21,0,1,"06",174900
"3127894","06702",23,0,6,"02",23000
"3128057","06704",21,0,6,"02",74400
"3128126","06702",27,0,2,"02",26000
"3128208","06703",19,0,3,"01",11400
"3128750","06705",26,0,1,"02",12800
"3128867","06703",21,0,1,"01",20000
"3129131","06704",24,0,1,"06",40000
"3129449","06701",0,2,1,"  ",0
"3129746","06705",0,2,1,"  ",0
"3129896","06703",7,0,1,"01",8600
"3130175","06701",0,2,1,"  ",0
"3130180","06703",7,0,4,"02",43500
"3130350","06701",14,0,2,"02",85100
"3130410","06704",16,0,4,"02",71740
"3130650","06702",14,0,1,"01",15200
"3130746","06704",15,0,5,"02",70200
"3130950","06705",26,0,1,"09",43700
"3131044","06701",0,2,1,"  ",0
"3131120","06703",16,0,5,"02",134000
"3131592","06701",16,0,6,"02",32400
"3131968","06704",24,0,7,"02",41200
"3132604","06701",0,2,1,"  ",0
"3132691","06704",19,0,1,"09",23900
"3132741","06701",21,0,5,"07",30000
"3133038","06704",24,0,2,"06",25450
"3133153","06703",13,0,1,"02",0
"3133200","06705",24,0,2,"02",48900
"3133853","06702",34,0,2,"09",13200
"3134233","06704",24,0,2,"02",89340
"3134328","06704",19,0,2,"02",106004
"3134572","06704",29,0,0,"02",0
"3134640","06702",24,0,2,"09",38400
"3134927","06704",27,0,5,"02",82000
"3135245","06705",21,0,2,"02",42600
"3135269","06705",24,0,5,"02",85600
"3135333","06704",26,0,2,"02",93300
"3136015","06701",26,0,2,"09",36000
"3136239","06701",0,2,1,"  ",0
"3136578","06704",21,0,3,"06",82700
"3136863","06701",11,0,0,"07",0
"3136944","06704",29,0,3,"03",120000
"3136988","06705",18,0,2,"01",22700
"3137014","06704",17,0,0,"08",0
"3137057","06703",23,0,4,"02",55000
"3137163","06702",18,0,7,"04",38100
"3137178","06703",16,0,2,"02",105000
"3137292","06702",10,0,2,"02",84600
"3137467","06705",29,0,5,"02",121000
"3137609","06701",26,0,1,"09",9900
"3137866","06703",13,0,4,"02",24300
"3137925","06704",11,0,2,"08",86000
"3138258","06703",11,0,3,"02",105000
"3138759","06702",21,0,7,"02",110000
"3138822","06705",24,0,4,"02",5000
"3138836","06705",24,0,3,"02",107800
"3138847","06705",21,0,4,"02",210000
"3138935","06701",16,0,1,"02",85000
"3139107","06705",21,0,2,"02",83670
"3139503","06701",13,0,1,"02",14800
"3139809","06704",16,0,2,"02",110030
"3139957","06704",16,0,5,"02",180700
"3140087","06705",0,2,1,"  ",0
"3140088","06705",21,0,2,"02",125800
"3140359","06704",29,0,2,"09",5010
"3140424","06701",26,0,1,"06",0
"3140425","06701",24,0,1,"04",19010
"3140433","06701",21,0,2,"06",37060
"3140918","06701",13,0,9,"04",37200
"3141001","06702",15,0,3,"07",23000
"3141627","06702",24,0,5,"05",33000
"3141777","06703",0,1,1,"  ",0
"3141845","06701",16,0,1,"09",11600
"3141906","06703",29,0,2,"06",59400
"3142174","06703",14,0,6,"02",95100
"3142200","06701",8,0,0,"02",0
"3142359","06701",16,0,2,"02",67200
"3142584","06701",24,0,2,"05",121000
"3142655","06703",18,0,3,"02",49100
"3143032","06702",15,0,2,"02",45000
"3143351","06702",31,0,2,"02",130000
"3143420","06705",24,0,3,"02",43100
"3143424","06703",27,0,6,"02",68500
"3143427","06705",16,0,5,"07",42000
"3143682","06701",22,0,2,"02",24200
"3143790","06705",21,0,4,"02",157600
"3143794","06703",24,0,2,"01",45000
"3143824","06701",29,0,2,"09",22800
"3143967","06704",23,0,0,"02",0
"3144116","06704",0,2,1,"  ",0
"3144473","06705",16,0,1,"02",22800
"3144514","06703",19,0,4,"09",13900
"3144557","06704",17,0,0,"06",0
"3144826","06705",26,0,2,"01",20200
"3145096","06705",24,0,2,"02",37000
"3145264","06702",21,0,5,"02",43400
"3145389","06703",24,0,1,"02",14600
"3145440","06701",18,0,3,"02",50000
"3145584","06704",19,0,2,"08",74100
"3145785","06705",21,0,1,"02",32900
"3146038","06702",27,0,2,"09",29500
"3146383","06701",18,0,2,"04",38000
"3146548","06705",0,2,1,"  ",0
"3147203","06703",21,0,1,"04",0
"3147262","06701",21,0,3,"02",24500
"3147567","06704",24,0,1,"03",158000
"3147669","06702",14,0,5,"02",60000
"3147679","06701",14,0,0,"05",0
"3148374","06705",22,0,2,"02",112600
"3148498","06704",0,1,1,"  ",0
"3148746","06705",15,0,4,"02",616500
"3148941","06702",32,0,4,"06",12000
"3149190","06704",24,0,3,"02",115200
"3149339","06702",24,0,3,"06",21000
"3149998","06705",18,0,4,"02",160500
"3150101","06705",37,0,3,"05",38000
"3150377","06702",15,0,5,"02",68400
"3150832","06703",26,0,2,"02",57850
"3150842","06704",15,0,2,"09",25000
"3151055","06701",13,0,3,"02",118000
"3151432","06701",35,0,3,"06",17000
"3151805","06705",11,0,0,"01",0
"3151861","06705",16,0,2,"07",13000
"3152012","06705",8,0,2,"02",47300
"3152288","06705",16,0,1,"07",6000
"3152457","06705",26,0,1,"08",11990
"3152658","06705",16,0,1,"02",20000
"3152668","06701",21,0,6,"03",24000
"3153273","06702",0,2,1,"  ",0
"3153663","06702",24,0,4,"02",63000
"3153666","06705",0,1,1,"  ",0
"3153731","06704",18,0,2,"06",19580
"3153836","06704",21,0,2,"03",64400
"3154277","06702",16,0,1,"08",7000
"3154586","06705",24,0,5,"03",29100
"3154594","06705",16,0,5,"02",58500
"3155317","06705",10,0,2,"02",10020
"3155655","06705",21,0,2,"02",145600
"3156131","06704",21,0,1,"02",58400
"3156194","06705",29,0,5,"02",111600
"3156256","06705",21,0,2,"02",104000
"3156301","06703",21,0,4,"02",87970
"3156326","06701",23,0,1,"08",8300
"3156459","06704",24,0,1,"02",52000
"3156676","06705",21,0,3,"02",122300
"3157022","06704",21,0,4,"02",76180
"3157206","06704",26,0,1,"09",4830
"3157225","06701",26,0,1,"05",40000
"3157275","06705",21,0,1,"06",12000
"3157322","06703",18,0,3,"02",302000
"3157639","06702",24,0,3,"03",24600
"3157741","06704",26,0,4,"02",112000
"3157863","06701",29,0,4,"07",37000
"3157955","06701",0,2,1,"  ",0
"3158134","06704",15,0,4,"02",91000
"3158434","06702",0,2,1,"  ",0
"3158730","06704",22,0,1,"03",90140
"3158904","06702",0,2,1,"  ",0
"3158941","06701",0,2,1,"  ",0
"3159001","06704",24,0,1,"09",13200
"3159082","06704",16,0,4,"02",169600
"3159174","06704",45,0,3,"03",38500
"3159305","06705",22,0,1,"02",29000
"3159349","06705",24,0,4,"02",68500
"3159391","06704",13,0,2,"02",176400
"3159577","06705",26,0,1,"06",0
"3159620","06705",29,0,4,"03",41000
"3160039","06701",26,0,5,"03",79000
"3160516","06704",18,0,2,"03",97100
"3160584","06701",13,0,4,"02",37300
"3160800","06705",19,0,2,"02",60500
"3160882","06702",18,0,1,"06",55080
"3160952","06701",26,0,2,"05",76800
"3161148","06703",26,0,5,"02",92000
"3161199","06702",24,0,1,"01",8400
"3161458","06701",0,2,1,"  ",0
"3161523","06704",21,0,1,"09",200300
"3161549","06704",18,0,6,"02",81030
"3161846","06705",19,0,7,"05",22000
"3162382","06705",19,0,2,"02",84000
"3162424","06705",36,0,2,"05",15400
"3162469","06701",0,2,1,"  ",0
"3162635","06705",23,0,2,"02",67800
"3162697","06704",18,0,2,"02",106600
"3162782","06702",21,0,3,"07",20200
"3162824","06705",26,0,3,"02",56000
"3163064","06703",21,0,5,"02",47000
"3163124","06701",18,0,1,"06",10000
"3163240","06704",15,0,1,"02",16200
"3163263","06701",16,0,2,"02",22950
"3163803","06701",16,0,2,"07",86000
"3163935","06701",14,0,2,"06",34700
"3163967","06701",18,0,2,"02",17800
"3164151","06704",23,0,2,"07",42880
"3164397","06703",29,0,3,"06",12500
"3164467","06702",19,0,3,"02",182120
"3164616","06701",19,0,5,"02",93800
"3164701","06703",21,0,2,"02",170000
"3165026","06701",19,0,2,"02",300
"3165104","06702",18,0,4,"02",80000
"3165303","06704",32,0,4,"02",122000
"3165329","06702",37,0,5,"02",119500
"3165617","06705",26,0,2,"02",149700
"3165896","06704",21,0,3,"06",102000
"3166197","06702",16,0,2,"02",54100
"3166443","06701",26,0,6,"02",29860
"3166459","06704",20,0,0,"02",0
"3166492","06702",24,0,1,"01",21600
"3166795","06702",19,0,7,"02",38100
"3166931","06704",16,0,4,"02",118080
"3166937","06704",17,0,0,"08",0
"3167188","06703",21,0,1,"02",52000
"3167201","06703",21,0,3,"03",34100
"3167344","06703",21,0,4,"09",40200
"3167503","06702",16,0,4,"07",17000
"3167824","06704",18,0,1,"03",30000
"3168037","06702",16,0,9,"02",101850
"3168144","06703",24,0,1,"07",9000
"3168238","06705",8,0,4,"01",47520
"3168253","06705",23,0,1,"02",38500
"3168459","06701",0,2,1,"  ",0
"3168536","06705",21,0,3,"02",354800
"3168707","06703",18,0,1,"09",28920
"3168782","06704",23,0,1,"09",0
"3169101","06702",24,0,1,"01",24680
"3169294","06702",19,0,6,"09",27700
"3169964","06705",32,0,2,"05",35200
"3170351","06705",13,0,1,"01",2860
"3170647","06703",32,0,5,"02",358180
"3170678","06703",21,0,3,"02",356000
"3170776","06701",21,0,4,"06",40000
"3171090","06703",8,0,9,"02",57700
"3171163","06705",17,0,0,"06",0
"3172089","06704",24,0,2,"02",24070
"3172239","06703",16,0,1,"10",1000
"3172519","06705",21,0,2,"02",18000
"3172661","06705",13,0,2,"02",90600
"3173045","06705",16,0,2,"02",20000
"3173343","06705",21,0,2,"09",55000
"3173644","06702",13,0,3,"03",72500
"3173955","06701",21,0,2,"09",10000
"3173978","06704",24,0,1,"06",40000
"3174125","06704",23,0,2,"02",120500
"3174459","06705",35,0,6,"09",19100
"3174989","06702",13,0,1,"01",35600
"3174990","06704",24,0,4,"02",114800
"3175037","06705",10,0,3,"05",2500
"3175115","06705",17,0,0,"02",0
"3175152","06704",21,0,2,"02",40660
"3175676","06701",24,0,1,"06",2900
"3175874","06701",24,0,2,"02",100300
"3175982","06705",26,0,4,"02",39500
"3176011","06705",13,0,2,"02",49000
"3176063","06704",24,0,1,"08",85000
"3176423","06702",16,0,3,"02",12000
"3176634","06701",15,0,2,"02",133000
"3176665","06702",23,0,3,"08",36000
"3176691","06702",18,0,1,"02",8030
"3176702","06705",16,0,2,"02",289600
"3176754","06704",21,0,1,"03",60290
"3177027","06704",21,0,3,"02",31600
"3177034","06704",17,0,0,"07",0
"3177445","06705",19,0,2,"03",35100
"3177470","06705",25,0,0,"02",0
"3177810","06704",24,0,2,"07",66660
"3177902","06705",20,0,0,"02",0
"3178152","06703",10,0,3,"02",40000
"3178301","06703",15,0,3,"02",47740
"3178845","06704",0,2,1,"  ",0
"3179144","06701",23,0,0,"08",0
"3179184","06702",24,0,1,"09",38000
"3179235","06703",16,0,2,"05",22500
"3179322","06703",14,0,7,"02",129200
"3179586","06701",34,0,4,"03",2610
"3179756","06705",21,0,2,"02",38400
"3179916","06704",10,0,6,"02",66740
"3180237","06705",16,0,4,"02",63060
"3180243","06701",19,0,4,"04",33700
"3180280","06703",24,0,2,"02",89400
"3180298","06702",23,0,3,"02",100600
"3180964","06705",21,0,2,"02",36100
"3181068","06705",21,0,1,"09",22000
"3181087","06704",24,0,3,"02",331000
"3181233","06701",19,0,1,"02",66800
"3181484","06702",13,0,4,"05",38000
"3181874","06704",19,0,2,"02",76000
"3181901","06702",16,0,1,"09",11000
"3182097","06703",16,0,1,"06",23200
"3182103","06705",21,0,3,"02",23000
"3182310","06701",0,2,1,"  ",0
"3182356","06705",29,0,3,"05",20000
"3182413","06702",21,0,5,"04",142200
"3182442","06705",22,0,2,"06",540
"3182803","06702",23,0,1,"02",165040
"3183135","06702",16,0,4,"03",56700
"3183482","06701",19,0,2,"07",0
"3183606","06702",18,0,1,"02",2500
"3183774","06705",19,0,1,"02",157500
"3183823","06705",16,0,1,"02",14200
"3183986","06701",16,0,2,"05",22000
"3183992","06705",24,0,5,"01",49900
"3184012","06701",20,0,0,"02",0
"3184028","06705",16,0,3,"04",30000
"3184215","06703",0,1,1,"  ",0
"3184526","06703",24,0,2,"02",48830
"3184910","06702",24,0,2,"02",10000
"3185263","06702",18,0,1,"04",8400
"3185354","06701",16,0,2,"02",154560
"3185520","06701",13,0,5,"02",70500
"3185552","06705",24,0,1,"02",25100
"3185575","06703",27,0,4,"02",34000
"3185643","06701",16,0,1,"02",53000
"3185896","06704",19,0,2,"09",97000
"3185938","06705",21,0,1,"02",64800
"3186018","06703",27,0,2,"01",58500
"3186462","06703",21,0,1,"02",0
"3186463","06702",74,0,5,"07",55800
"3186575","06703",26,0,2,"02",25600
"3186610","06703",37,0,0,"08",0
"3186670","06701",18,0,2,"03",129500
"3186881","06703",0,1,1,"  ",0
"3186915","06705",0,2,1,"  ",0
"3187039","06701",29,0,3,"06",27700
"3187112","06704",13,0,1,"09",152600
"3187565","06702",29,0,3,"01",22300
"3187616","06704",21,0,1,"02",80000
"3187758","06704",24,0,1,"09",17670
"3187891","06704",21,0,4,"02",45200
"3187911","06701",15,0,5,"06",24700
"3188004","06702",19,0,5,"01",670
"3188112","06702",15,0,2,"02",26500
"3188317","06705",24,0,4,"02",10630
"3188640","06705",21,0,2,"02",19600
"3188644","06704",13,0,1,"03",6100
"3188670","06705",0,2,1,"  ",0
"3188967","06705",21,0,1,"07",21590
"3189155","06704",14,0,3,"02",22620
"3189360","06701",13,0,2,"06",22900
"3189384","06701",21,0,3,"02",70700
"3189667","06705",29,0,1,"01",1200
"3189958","06703",27,0,2,"03",86400
"3190256","06705",18,0,1,"01",11450
"3190625","06705",24,0,2,"03",51500
"3190803","06703",14,0,1,"02",7200
"3191092","06703",18,0,2,"02",56000
"3191351","06705",20,0,0,"02",0
"3191432","06705",24,0,1,"03",41800
"3191955","06705",24,0,4,"02",44690
"3191959","06705",24,0,4,"02",43000
"3192121","06703",23,0,4,"02",58200
"3192346","06705",21,0,1,"01",24800
"3192404","06704",24,0,4,"02",159200
"3192488","06705",21,0,4,"02",174000
"3193295","06701",18,0,2,"07",24000
"3193350","06701",0,1,1,"  ",0
"3193474","06705",0,2,1,"  ",0
"3193521","06705",19,0,3,"02",55320
"3193734","06704",13,0,2,"03",102000
"3194150","06701",16,0,4,"02",55250
"3194271","06705",26,0,2,"06",32000
"3194274","06701",21,0,2,"04",38000
"3194916","06705",16,0,3,"02",98900
"3195157","06705",40,0,0,"07",0
"3195499","06703",18,0,1,"01",54200
"3195509","06704",18,0,0,"08",0
"3195564","06704",21,0,4,"02",325000
"3195597","06704",13,0,2,"02",39000
"3195859","06701",21,0,6,"02",54600
"3196149","06702",13,0,4,"02",66700
"3196372","06701",21,0,4,"04",47900
"3196434","06704",21,0,4,"02",160000
"3196495","06705",19,0,2,"05",42150
"3196608","06704",18,0,4,"01",25000
"3196906","06701",21,0,2,"02",66800
"3196907","06705",26,0,2,"03",34660
"3197170","06704",24,0,1,"02",79400
"3197607","06702",29,0,3,"02",29600
"3197744","06705",15,0,5,"02",330000
"3197755","06702",18,0,1,"09",30200
"3197772","06701",27,0,2,"05",33000
"3197980","06704",16,0,1,"08",28650
"3198287","06701",23,0,0,"02",0
"3198309","06703",15,0,1,"01",21200
"3198352","06704",0,2,1,"  ",0
"3198393","06703",18,0,3,"02",59000
"3198405","06705",18,0,3,"02",27410
"3198411","06701",29,0,3,"07",14400
"3198442","06703",24,0,2,"05",12200
"3198817","06705",18,0,2,"08",47400
"3198836","06705",0,2,1,"  ",0
"3198875","06701",24,0,1,"07",35000
"3198901","06703",24,0,3,"02",59500
"3199075","06701",19,0,6,"06",2500
"3199098","06705",13,0,4,"02",42000
"3199389","06701",16,0,2,"02",35800
"3199472","06703",26,0,3,"02",70000
"3199791","06704",0,2,1,"  ",0
"3199931","06705",26,0,2,"02",450000
"3200132","06701",18,0,4,"02",341000
"3200212","06705",23,0,2,"03",130040
"3200242","06705",23,0,1,"03",23900
"3200782","06704",19,0,2,"02",35800
"3200784","06705",21,0,2,"02",35100
"3200928","06701",16,0,2,"06",55000
"3201108","06701",29,0,1,"02",25000
"3201123","06703",24,0,3,"02",42550
"3201148","06705",16,0,1,"04",30000
"3201339","06705",32,0,3,"04",156510
"3201409","06701",14,0,2,"05",24000
"3202113","06704",24,0,2,"02",89600
"3202312","06702",19,0,2,"07",13600
"3202366","06703",8,0,0,"02",0
"3202373","06704",21,0,2,"02",70000
"3202674","06702",53,0,1,"09",57600
"3202865","06705",21,0,2,"02",58900
"3202906","06701",18,0,3,"02",97450
"3202935","06702",28,0,0,"09",0
"3203368","06703",18,0,4,"02",38450
"3203483","06705",21,0,4,"02",26900
"3203521","06705",13,0,1,"06",7720
"3203706","06705",24,0,1,"02",32780
"3203860","06703",16,0,1,"06",17500
"3204305","06705",29,0,5,"05",19000
"3204376","06704",26,0,3,"02",93000
"3204391","06703",26,0,2,"09",6600
"3204415","06703",37,0,5,"02",49000
"3204440","06704",21,0,1,"02",34600
"3204634","06701",16,0,1,"03",60000
"3205187","06702",22,0,3,"02",49300
"3205328","06705",0,2,1,"  ",0
"3205398","06704",19,0,5,"02",125100
"3205901","06705",12,0,0,"09",0
"3205938","06704",14,0,1,"06",13300
"3206057","06705",19,0,1,"03",70400
"3206661","06705",26,0,2,"02",18500
"3206665","06702",23,0,9,"02",131800
"3206770","06701",0,2,1,"  ",0
"3207033","06701",26,0,4,"02",51300
"3207207","06703",21,0,2,"07",41000
"3207558","06704",19,0,2,"02",93300
"3207630","06702",24,0,3,"08",55600
"3207662","06705",21,0,3,"08",56100
"3207750","06702",0,2,1,"  ",0
"3207949","06703",23,0,0,"02",0
"3208109","06703",21,0,1,"06",35000
"3208473","06704",21,0,4,"02",72500
"3208608","06703",26,0,1,"06",0
"3210136","06702",0,2,1,"  ",0
"3210328","06701",21,0,1,"04",39530
"3210654","06701",21,0,2,"02",7200
"3210664","06703",27,0,4,"08",36000
"3210726","06703",16,0,3,"06",51700
"3210789","06701",15,0,3,"02",54900
"3211241","06704",24,0,2,"03",46100
"3211369","06705",21,0,1,"03",9800
"3211998","06702",19,0,2,"06",30000
"3212219","06703",24,0,3,"09",51224
"3212274","06702",21,0,6,"05",18600
"3212308","06705",23,0,1,"03",11200
"3212482","06705",19,0,2,"02",95000
"3212899","06705",21,0,5,"02",62500
"3213048","06704",16,0,1,"06",0
"3213813","06703",0,1,1,"  ",0
"3213825","06703",21,0,2,"01",72200
"3213972","06701",24,0,2,"02",27000
"3214036","06704",16,0,1,"02",46900
"3214619","06705",18,0,1,"01",3700
"3214620","06701",16,0,2,"02",55200
"3214725","06704",18,0,2,"02",372000
"3214924","06703",16,0,4,"02",101790
"3214936","06704",22,0,3,"03",56380
"3214991","06705",24,0,1,"01",28300
"3215206","06704",24,0,2,"02",88600
"3215320","06702",16,0,2,"02",67200
"3215350","06704",16,0,2,"02",47600
"3215358","06705",11,0,2,"02",44000
"3215375","06702",16,0,3,"07",16000
"3216010","06703",13,0,4,"02",107000
"3216178","06704",32,0,2,"02",15800
"3216182","06701",0,2,1,"  ",0
"3216333","06705",19,0,2,"02",40390
"3216526","06705",0,2,1,"  ",0
"3216633","06702",0,2,1,"  ",0
"3216798","06705",18,0,1,"07",59000
"3216849","06704",0,2,1,"  ",0
"3216917","06704",18,0,2,"02",71500
"3217103","06704",21,0,3,"02",126100
"3217253","06705",24,0,3,"03",71000
"3217274","06703",19,0,2,"06",8500
"3217299","06703",18,0,3,"02",38000
"3217943","06704",27,0,1,"09",55000
"3218031","06701",24,0,1,"09",84500
"3218033","06702",19,0,6,"01",26690
"3218170","06701",18,0,7,"07",18100
"3218223","06704",26,0,2,"02",57300
"3218403","06701",21,0,2,"02",92800
"3218486","06704",16,0,1,"02",16890
"3218645","06701",16,0,1,"02",8000
"3219381","06702",16,0,4,"03",42800
"3219391","06704",24,0,4,"02",50500
"3219507","06705",21,0,5,"03",57600
"3219644","06703",21,0,3,"01",42400
"3219646","06705",18,0,2,"07",30000
"3219660","06702",26,0,1,"02",50000
"3219793","06705",0,2,1,"  ",0
"3220329","06705",16,0,2,"02",44000
"3220603","06701",31,0,3,"04",19000
"3220670","06704",24,0,2,"02",65600
"3221109","06703",18,0,4,"02",71200
"3221182","06705",21,0,3,"02",110900
"3221261","06704",21,0,2,"02",329800
"3221290","06701",16,0,2,"02",20104
"3221622","06701",16,0,3,"04",45384
"3221676","06704",16,0,1,"05",20000
"3221719","06701",16,0,3,"08",10000
"3221870","06701",13,0,4,"02",24000
"3221882","06704",19,0,1,"03",82870
"3221986","06704",24,0,3,"02",41900
"3222133","06705",26,0,2,"02",14000
"3222361","06705",16,0,1,"02",325000
"3222450","06704",21,0,2,"02",59600
"3222746","06701",24,0,1,"02",38000
"3222752","06703",18,0,3,"03",32400
"3222790","06702",23,0,2,"08",14100
"3223047","06703",5,0,1,"02",123800
"3223605","06701",0,2,1,"  ",0
"3223691","06704",19,0,2,"02",15000
"3223703","06705",0,2,1,"  ",0
"3224136","06704",31,0,3,"02",86970
"3224171","06704",19,0,1,"02",68200
"3224702","06705",19,0,2,"02",28100
"3224744","06703",24,0,2,"02",29500
"3225352","06702",10,0,2,"02",28000
"3225425","06703",24,0,3,"02",75000
"3225776","06702",22,0,1,"01",7000
"3225875","06704",19,0,4,"02",41000
"3226194","06701",0,2,1,"  ",0
"3226525","06705",0,2,1,"  ",0
"3226817","06701",16,0,2,"06",11400
"3227067","06705",16,0,6,"02",43540
"3227173","06705",16,0,9,"05",58000
"3227206","06704",21,0,1,"02",10100
"3227780","06704",21,0,2,"02",84700
"3227911","06705",21,0,5,"02",188274
"3228151","06704",16,0,4,"02",121600
"3228404","06704",16,0,3,"02",44800
"3228444","06704",18,0,4,"02",16000
"3228715","06704",19,0,2,"07",62000
"3228729","06702",19,0,3,"02",46500
"3228875","06703",16,0,3,"02",79500
"3228969","06701",16,0,1,"05",11400
"3228972","06703",26,0,4,"03",44800
"3229527","06705",0,2,1,"  ",0
"3229538","06704",21,0,2,"02",62000
"3229762","06705",19,0,6,"02",73800
"3230239","06705",21,0,2,"02",53200
"3230477","06703",21,0,4,"02",84120
"3230519","06701",19,0,4,"02",61600
"3230591","06703",13,0,2,"02",2580
"3230785","06705",21,0,1,"01",43030
"3231120","06701",16,0,2,"02",126500
"3231164","06701",19,0,3,"08",1300
"3231202","06704",0,1,1,"  ",0
"3231203","06704",13,0,2,"03",99600
"3231248","06705",14,0,5,"07",26500
"3231291","06703",24,0,3,"02",69000
"3231313","06705",24,0,3,"02",337600
"3231320","06701",26,0,3,"09",28000
"3231518","06704",13,0,3,"02",98900
"3231535","06704",16,0,1,"03",44000
"3231829","06704",16,0,3,"02",98380
"3231950","06705",21,0,2,"02",105000
"3232019","06704",21,0,4,"06",97150
"3232028","06703",18,0,1,"02",154700
"3232146","06701",13,0,3,"02",110000
"3232211","06704",19,0,2,"02",48710
"3232478","06702",0,2,1,"  ",0
"3232663","06702",32,0,5,"02",35100
"3232856","06704",0,1,1,"  ",0
"3233009","06702",0,2,1,"  ",0
"3233109","06704",16,0,2,"07",48800
"3233158","06701",16,0,2,"02",47700
"3233468","06704",21,0,1,"02",9600
"3233661","06702",19,0,5,"02",67000
"3233731","06703",18,0,3,"09",84100
"3233813","06701",0,2,1,"  ",0
"3234029","06705",35,0,4,"09",11500
"3234036","06705",19,0,2,"02",49500
"3234283","06701",24,0,3,"02",87000
"3234319","06703",21,0,4,"01",62200
