Geo,Year,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU
210,2016,0.0,0.0,0.0,0.6486486486486487,0.0,0.0
211,2016,0.0,0.0,0.0,0.0,0.0,0.0
212,2016,0.0,0.0,0.0,0.0,0.0,0.0
213,2016,0.0,0.0,0.0,0.0,0.0,0.0
214,2016,0.0,0.0,0.0,0.0,0.0,0.0
215,2016,0.0,0.0,0.0,0.0,0.0,0.0
216,2016,0.0,0.0,0.0,0.0,0.0,0.0
217,2016,0.0,0.0,0.0,0.7122302158273381,1.0,1.0
218,2016,0.0,0.0,0.0,1.0,0.0,0.0
219,2016,0.0,0.0,0.0,0.0,0.0,0.0
220,2016,0.0,0.0,0.0,1.0,0.0,0.0
221,2016,0.0,0.0,0.0,0.0,0.0,0.0
222,2016,0.0,0.0,0.0,0.0,0.0,0.0
223,2016,0.0,0.0,0.0,0.0,0.0,0.0
224,2016,0.0,0.0,0.0,0.0,0.0,0.0
225,2016,0.0,0.0,0.0,0.0,0.0,0.0
226,2016,0.0,0.0,0.0,0.0,0.0,0.0
227,2016,0.0,0.0,0.0,0.0,0.0,0.0
228,2016,0.0,0.0,0.0,0.0,0.0,0.0
229,2016,0.0,0.0,0.0,0.0,0.0,0.0
230,2016,0.0,0.0,0.0,0.0,0.0,0.0
231,2016,0.0,0.0,0.0,0.0,0.0,0.0
232,2016,0.0,0.0,0.0,0.0,0.0,0.0
233,2016,0.0,0.0,0.0,1.0,0.0,0.0
234,2016,0.0,0.0,0.0,0.0,0.0,0.0
235,2016,0.0,0.0,0.0,0.0,0.0,0.0
236,2016,0.0,0.0,0.0,0.0,0.0,0.0
237,2016,0.0,0.0,0.0,0.0,0.0,0.0
238,2016,0.0,0.0,0.0,0.0,0.0,0.0
239,2016,0.0,0.0,0.0,1.0,0.0,1.0
240,2016,0.0,0.0,0.0,0.0,0.0,0.0
241,2016,0.0,0.0,0.0,0.0,0.0,0.0
242,2016,0.0,0.0,0.0,0.0,0.0,0.0
243,2016,0.0,0.0,0.0,0.0,0.0,0.0
244,2016,0.0,0.0,0.0,0.0,0.0,0.0
245,2016,0.0,0.0,0.0,0.0,0.0,0.0
246,2016,0.0,0.0,0.0,0.0,0.0,0.0
247,2016,0.0,0.0,0.0,0.0,0.0,0.0
248,2016,0.0,0.0,0.0,0.0,0.0,0.0
249,2016,0.0,0.0,0.0,0.48186528497409326,0.0,1.0
250,2016,0.0,0.0,0.0,0.0,0.0,0.0
251,2016,0.0,0.0,0.0,1.0,0.0,0.0
252,2016,0.0,0.0,0.0,0.0,0.0,0.0
253,2016,0.0,0.0,0.0,0.0,0.0,0.0
254,2016,0.0,0.0,0.0,0.0,0.0,0.0
255,2016,0.0,0.0,0.0,0.0,0.0,0.0
256,2016,0.0,0.0,0.0,0.0,0.0,0.0
257,2016,0.0,0.0,0.0,0.0,0.0,0.0
258,2016,0.0,0.0,0.0,0.0,0.0,0.0
259,2016,0.0,0.0,0.0,0.0,0.0,0.0
260,2016,0.0,0.0,0.0,0.9793459552495697,0.0,1.0
261,2016,0.0,0.0,0.0,0.0,0.0,0.0
262,2016,0.0,0.0,0.0,0.0,0.0,0.0
263,2016,0.0,0.0,0.0,0.9895833333333334,0.0,0.0
264,2016,0.0,0.0,0.0,0.0,0.0,0.0
265,2016,0.0,0.0,0.0,1.0,1.0,0.0
266,2016,0.0,0.0,0.0,1.0,1.0,1.0
267,2016,0.0,0.0,0.0,0.0,0.0,0.0
268,2016,0.0,0.0,0.0,0.0,0.0,0.0
269,2016,0.0,0.0,0.0,1.0,1.0,1.0
270,2016,0.0,0.0,0.0,0.0,0.0,0.0
271,2016,0.0,0.0,0.0,1.0,0.0,0.0
272,2016,0.0,0.0,0.0,0.9528301886792453,0.0,1.0
273,2016,0.0,0.0,0.0,0.0,0.0,0.0
274,2016,0.0,0.0,0.0,0.0,0.0,0.0
275,2016,0.0,0.0,0.0,0.0,1.0,0.0
276,2016,0.0,0.0,0.0,0.0,1.0,0.0
277,2016,0.0,0.0,0.0,0.0,0.0,0.0
278,2016,0.0,0.0,0.0,0.0,0.0,0.0
279,2016,0.0,0.0,0.0,0.6490939044481054,0.0,1.0
280,2016,0.0,0.0,0.0,1.0,0.0,0.0
281,2016,0.0,0.0,0.0,0.0,0.0,0.0
282,2016,0.0,0.0,0.0,0.0,0.0,0.0
283,2016,0.0,0.0,0.0,0.0,0.0,0.0
284,2016,0.0,0.0,0.0,0.0,0.0,0.0
285,2016,0.0,0.0,0.0,0.0,0.0,0.0
286,2016,0.0,0.0,0.0,0.0,0.0,0.0
287,2016,0.0,0.0,0.0,0.0,0.0,0.0
288,2016,0.0,0.0,0.0,0.0,0.0,0.0
289,2016,0.0,0.0,0.0,0.0,0.0,0.0
290,2016,0.0,0.0,0.0,0.9047619047619048,0.0,0.0
291,2016,0.0,0.0,0.0,0.0,0.0,0.0
292,2016,0.0,0.0,0.0,0.0,0.0,0.0
293,2016,0.0,0.0,0.0,0.0,0.0,0.0
294,2016,0.0,0.0,0.0,0.0,0.0,0.0
295,2016,0.0,0.0,0.0,0.0,0.0,0.0
296,2016,0.0,0.0,0.0,1.0,0.0,0.0
297,2016,0.0,0.0,0.0,1.0,1.0,1.0
298,2016,0.0,0.0,0.0,0.6538461538461539,0.0,0.0
299,2016,0.0,0.0,0.0,0.0,0.0,0.0
300,2016,0.0,0.0,0.0,1.0,0.0,1.0
301,2016,0.0,0.0,0.0,0.5263157894736842,0.0,0.0
302,2016,0.0,0.0,0.0,1.0,0.0,0.0
303,2016,0.0,0.0,0.0,0.0,0.0,1.0
304,2016,0.0,0.0,0.0,0.0,0.0,0.0
305,2016,0.0,0.0,0.0,1.0,0.0,0.0
306,2016,0.0,0.0,0.0,0.0,0.0,0.0
307,2016,0.0,0.0,0.0,1.0,0.0,0.0
308,2016,0.0,0.0,0.0,0.0,0.0,0.0
309,2016,0.0,0.0,0.0,1.0,0.0,1.0
310,2016,0.0,0.0,0.0,1.0,0.0,0.0
311,2016,0.0,0.0,0.0,1.0,1.0,1.0
312,2016,0.0,0.0,0.0,1.0,0.0,1.0
313,2016,0.0,0.0,0.0,1.0,0.0,1.0
314,2016,0.0,0.0,0.0,0.0,0.0,0.0
315,2016,0.0,0.0,0.0,0.0,0.0,0.0
316,2016,0.0,0.0,0.0,0.0,0.0,0.0
317,2016,0.0,0.0,0.0,0.0,0.0,0.0
318,2016,0.0,0.0,0.0,0.0,0.0,0.0
319,2016,0.0,0.0,0.0,0.0,0.0,0.0
320,2016,0.0,0.0,0.0,1.0,0.0,0.0
321,2016,0.0,0.0,0.0,1.0,0.0,0.0
322,2016,0.0,0.0,0.0,1.0,0.0,0.0
323,2016,0.0,0.0,0.0,0.0,0.0,0.0
324,2016,0.0,0.0,0.0,0.0,0.0,0.0
325,2016,0.0,0.0,0.0,0.0,0.0,0.0
326,2016,0.0,0.0,0.0,0.0,0.0,0.0
327,2016,0.0,0.0,0.0,0.3305084745762712,0.0,0.0
328,2016,0.0,0.0,0.0,1.0,0.0,1.0
329,2016,0.0,0.0,0.0,0.0,0.0,0.0
330,2016,0.0,0.0,0.0,1.0,0.0,1.0
331,2016,0.0,0.0,0.0,0.8794326241134752,1.0,1.0
332,2016,0.0,0.0,0.0,0.0,0.0,0.0
333,2016,0.0,0.0,0.0,1.0,1.0,0.0
334,2016,0.0,0.0,0.0,1.0,0.0,0.0
335,2016,0.0,0.0,0.0,1.0,1.0,0.0
336,2016,0.0,0.0,0.0,1.0,1.0,0.0
337,2016,0.0,0.0,0.0,0.0,0.0,0.0
338,2016,0.0,0.0,0.0,0.0,0.0,0.0
339,2016,0.0,0.0,0.0,1.0,0.0,0.0
340,2016,0.0,0.0,0.0,1.0,0.0,0.0
341,2016,0.0,0.0,0.0,1.0,1.0,0.0
342,2016,0.0,0.0,0.0,1.0,0.0,1.0
343,2016,0.0,0.0,0.0,1.0,0.0,0.0
344,2016,0.0,0.0,0.0,1.0,0.0,1.0
345,2016,0.0,0.0,0.0,1.0,0.0,0.0
346,2016,0.0,0.0,0.0,1.0,0.0,0.0
347,2016,0.0,0.0,0.0,0.0,0.0,0.0
348,2016,0.0,0.0,0.0,1.0,0.0,1.0
349,2016,0.0,0.0,0.0,1.0,0.0,1.0
350,2016,0.0,0.0,0.0,1.0,0.0,1.0
351,2016,0.0,0.0,0.0,0.0,0.0,0.0
352,2016,0.0,0.0,0.0,1.0,0.0,1.0
353,2016,0.0,0.0,0.0,1.0,1.0,0.0
354,2016,0.0,0.0,0.0,0.9770114942528736,0.0,0.0
355,2016,0.0,0.0,0.0,0.0,0.0,0.0
356,2016,0.0,0.0,0.0,0.0,0.0,0.0
357,2016,0.0,0.0,0.0,0.0,0.0,0.0
358,2016,0.0,0.0,0.0,0.0,0.0,0.0
359,2016,0.0,0.0,0.0,1.0,0.0,1.0
360,2016,0.0,0.0,0.0,1.0,0.0,1.0
361,2016,0.0,0.0,0.0,0.0,0.0,0.0
362,2016,0.0,0.0,0.0,1.0,0.0,0.0
363,2016,0.0,0.0,0.0,0.9436619718309859,0.0,0.0
364,2016,0.0,0.0,0.0,1.0,0.0,0.0
365,2016,0.0,0.0,0.0,1.0,1.0,0.0
366,2016,0.0,0.0,0.0,1.0,0.0,0.0
367,2016,0.0,0.0,0.0,1.0,1.0,0.0
368,2016,0.0,0.0,0.0,1.0,1.0,0.0
369,2016,0.0,0.0,0.0,1.0,1.0,0.0
370,2016,0.0,0.0,0.0,0.0,0.0,0.0
371,2016,0.0,0.0,0.0,0.0,0.0,0.0
372,2016,0.0,0.0,0.0,1.0,1.0,0.0
373,2016,0.0,0.0,0.0,1.0,1.0,0.0
374,2016,0.0,0.0,0.0,1.0,1.0,0.0
375,2016,0.0,0.0,0.0,1.0,0.0,1.0
376,2016,0.0,0.0,0.0,1.0,0.0,0.0
377,2016,0.0,0.0,0.0,1.0,1.0,0.0
378,2016,0.0,0.0,0.0,0.0,0.0,0.0
379,2016,0.0,0.0,0.0,0.0,0.0,0.0
380,2016,0.0,0.0,0.0,1.0,1.0,0.0
381,2016,0.0,0.0,0.0,1.0,0.0,0.0
382,2016,0.0,0.0,0.0,1.0,0.0,0.0
383,2016,0.0,0.0,0.0,0.0,0.0,0.0
384,2016,0.0,0.0,0.0,1.0,1.0,0.0
385,2016,0.0,0.0,0.0,1.0,0.0,0.0
386,2016,0.0,0.0,0.0,0.9783549783549783,0.0,1.0
387,2016,0.0,0.0,0.0,0.0,0.0,0.0
388,2016,0.0,0.0,0.0,0.0,0.0,0.0
389,2016,0.0,0.0,0.0,0.6822429906542056,0.0,0.0
390,2016,0.0,0.0,0.0,1.0,1.0,1.0
391,2016,0.0,0.0,0.0,0.0,0.0,0.0
392,2016,0.0,0.0,0.0,1.0,0.0,1.0
393,2016,0.0,0.0,0.0,0.0,0.0,0.0
394,2016,0.0,0.0,0.0,0.9423963133640553,0.0,1.0
395,2016,0.0,0.0,0.0,1.0,0.0,1.0
396,2016,0.0,0.0,0.0,1.0,1.0,0.0
397,2016,0.0,0.0,0.0,1.0,0.0,0.0
398,2016,0.0,0.0,0.0,0.0,0.0,0.0
399,2016,0.0,0.0,0.0,1.0,0.0,0.0
400,2016,0.0,0.0,0.0,1.0,0.0,0.0
401,2016,0.0,0.0,0.0,1.0,0.0,1.0
402,2016,0.0,0.0,0.0,0.0,0.0,0.0
403,2016,0.0,0.0,0.0,0.0,0.0,0.0
404,2016,0.0,0.0,0.0,0.0,0.0,0.0
405,2016,0.0,0.0,0.0,1.0,0.0,0.0
406,2016,0.0,0.0,0.0,1.0,1.0,0.0
407,2016,0.0,0.0,0.0,1.0,1.0,0.0
408,2016,0.0,0.0,0.0,1.0,1.0,0.0
