Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
145,2016,3.0,3.0,0,0.14607614607614605,0.0,0,0.0
146,2016,3.0,3.0,0,0.0,0.0,0,0.0
147,2016,3.0,3.0,0,0.10746268656716418,0.0,0,0.0
148,2016,3.0,3.0,0,0.0,0.0,0,0.0
149,2016,3.0,3.0,0,0.0,0.0,0,0.0
150,2016,3.0,3.0,0,0.1743341404358354,0.0,0,0.0
151,2016,3.0,3.0,0,0.15632183908045982,0.0,0,0.0
152,2016,3.0,3.0,0,0.18181818181818177,0.0,0,0.0
153,2016,3.0,3.0,0,0.04137931034482756,0.0,0,0.0
154,2016,3.0,3.0,0,0.5222405271828665,0.0,0,0.0
155,2016,3.0,3.0,0,0.0,0.0,0,0.0
156,2016,3.0,3.0,0,0.0,0.0,0,0.0
157,2016,3.0,3.0,0,0.0,0.0,0,0.0
158,2016,3.0,3.0,0,0.09738041002277908,0.0,0,0.0
159,2016,3.0,3.0,0,0.43333333333333335,0.0,0,0.0
160,2016,3.0,3.0,0,0.0,0.0,0,0.0
161,2016,3.0,3.0,0,0.08108108108108103,0.0,0,0.0
162,2016,3.0,3.0,0,0.18478260869565222,0.0,0,0.0
163,2016,3.0,3.0,0,1.0,0.0,0,0.0
164,2016,3.0,3.0,0,0.23649906890130357,0.0,0,0.0
165,2016,3.0,3.0,0,0.0,0.0,0,0.0
166,2016,3.0,3.0,0,0.04230769230769227,0.0,0,0.0
167,2016,3.0,3.0,0,0.15833333333333333,0.0,0,0.0
168,2016,3.0,3.0,0,0.08114285714285718,0.0,0,0.0
169,2016,3.0,3.0,0,0.16287878787878785,0.0,0,0.0
170,2016,3.0,3.0,0,0.0848017621145375,0.0,0,0.0
171,2016,3.0,3.0,0,0.363849765258216,0.0,0,0.0
172,2016,3.0,3.0,0,0.09252669039145911,0.0,0,0.0
173,2016,3.0,3.0,0,0.13496932515337423,0.0,0,0.0
174,2016,3.0,3.0,0,0.19444444444444442,0.0,0,0.0
175,2016,3.0,3.0,0,0.09839357429718876,0.0,0,0.0
176,2016,3.0,3.0,0,0.09794988610478361,0.0,0,0.0
177,2016,3.0,3.0,0,0.18243243243243246,0.0,0,0.0
178,2016,3.0,3.0,0,0.17350157728706628,0.0,0,0.0
179,2016,3.0,3.0,0,0.1287726358148893,0.0,0,0.0
180,2016,3.0,3.0,0,0.17907634307257303,0.0,0,0.0
181,2016,3.0,3.0,0,0.07441860465116279,0.0,0,0.0
182,2016,3.0,3.0,0,0.08606921029281278,0.0,0,0.0
183,2016,3.0,3.0,0,0.18681318681318682,0.0,0,0.0
184,2016,3.0,3.0,0,0.1355013550135501,0.0,0,0.0
185,2016,3.0,3.0,0,0.10983705491852747,0.0,0,0.0
186,2016,3.0,3.0,0,0.09958506224066388,0.0,0,0.0
187,2016,3.0,3.0,0,0.15909090909090906,0.0,0,0.0
188,2016,3.0,3.0,0,0.5771543086172345,0.0,0,0.0
189,2016,3.0,3.0,0,0.21028037383177567,0.0,0,0.0
190,2016,3.0,3.0,0,0.05275498241500587,0.0,0,0.0
191,2016,3.0,3.0,0,0.11731207289293855,0.0,0,0.0
192,2016,3.0,3.0,0,0.09716599190283404,0.0,0,0.0
193,2016,3.0,3.0,0,0.3571428571428571,0.0,0,0.0
194,2016,3.0,3.0,0,1.0,0.0,0,0.0
195,2016,3.0,3.0,0,0.8648648648648649,0.0,0,0.0
196,2016,3.0,3.0,0,0.06896551724137934,0.0,0,0.0
197,2016,3.0,3.0,0,0.20995334370139973,0.0,0,0.0
